slug,github_id,github_username,name,github_url,timestamp,checks_passed,checks_run,style50_score,archive
cs50/problems/2022/x/hello,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/2472984740cc11c4db5b89bfe683b87f74984c00,"Thu, 07 Jul 2022 01:57:42PM WEST",4,4,1,https://github.com/me50/salab3rt/archive/2472984740cc11c4db5b89bfe683b87f74984c00.zip
cs50/problems/2022/x/mario/more,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/ab575d8bb4b612d79141036d3f89d15a828d7397,"Thu, 07 Jul 2022 12:04:42PM WEST",10,10,1,https://github.com/me50/salab3rt/archive/ab575d8bb4b612d79141036d3f89d15a828d7397.zip
cs50/problems/2022/x/mario/less,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/f2a255b39f7e591cc2ca8c0e22dcd5ecbd1a4f64,"Thu, 07 Jul 2022 01:54:30PM WEST",10,10,1,https://github.com/me50/salab3rt/archive/f2a255b39f7e591cc2ca8c0e22dcd5ecbd1a4f64.zip
cs50/labs/2022/x/scrabble,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/a2206c489eca66271f807aabd6394d849af07b17,"Sat, 09 Jul 2022 06:47:12PM WEST",11,11,1,https://github.com/me50/salab3rt/archive/a2206c489eca66271f807aabd6394d849af07b17.zip
cs50/problems/2022/x/readability,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/184a13c7a979291b43d4b45f35427127f951cf25,"Sun, 10 Jul 2022 12:43:10AM WEST",11,11,1,https://github.com/me50/salab3rt/archive/184a13c7a979291b43d4b45f35427127f951cf25.zip
cs50/problems/2022/x/substitution,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/7573e8567504c943d3746c87222cce3defbb538c,"Tue, 12 Jul 2022 02:25:19PM WEST",17,17,1,https://github.com/me50/salab3rt/archive/7573e8567504c943d3746c87222cce3defbb538c.zip
cs50/problems/2022/x/credit,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/ea23887dc32435c91697a32523e2bc2af62068a7,"Wed, 13 Jul 2022 04:51:32PM WEST",15,15,1,https://github.com/me50/salab3rt/archive/ea23887dc32435c91697a32523e2bc2af62068a7.zip
cs50/labs/2022/x/sort,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/264a17e98ccace4850c35b1fd08dc11215ac30c4,"Thu, 14 Jul 2022 01:53:44PM WEST",3,3,,https://github.com/me50/salab3rt/archive/264a17e98ccace4850c35b1fd08dc11215ac30c4.zip
cs50/problems/2022/x/plurality,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/103e7f9a4c0748877a344dd180fd2add104f3471,"Sun, 17 Jul 2022 11:15:33AM WEST",14,14,1,https://github.com/me50/salab3rt/archive/103e7f9a4c0748877a344dd180fd2add104f3471.zip
cs50/problems/2022/x/runoff,89867004,salab3rt,,https://github.com/me50/salab3rt/tree/888832115a8ff37eed82d47433677f0b561b56b0,"Tue, 26 Jul 2022 02:14:19AM WEST",25,25,1,https://github.com/me50/salab3rt/archive/888832115a8ff37eed82d47433677f0b561b56b0.zip
